id,category_id,category_name,block_number,block_text,question_code,question_number,question_text,check_box,max_select,option_select,option_code,option_text,response_message,companion_advice,tone_tag,next_question_id,version
1,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,A,1_1_A,A. Self-realization and interest development,,,,,1
2,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,B,1_1_B,B. Family happiness and health,,,,,1
3,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,C,1_1_C,C. Contribution to society/community,,,,,1
4,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,D,1_1_D,D. Academic/career achievements,,,,,1
5,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,E,1_1_E,E. Economic income level,,,,,1
6,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,F,1_1_F,F. Social status and connections,,,,,1
7,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,OTHER,1_1_OTHER,Other,,,,,1
8,1,Hopes,1,Success,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",TRUE,2,A,1_2_A,A.  Found their passion and devoted themselves to it,"A. What a relief and joy when our child finds something that truly draws them in. Passion creates lasting motivation. When we encourage exploration and teach real-world skills alongside it, we help children build lives that align with who they are — something we will all feel proud of as it unfolds.",,,,1
9,1,Hopes,1,Success,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",TRUE,2,B,1_2_B,B. Attended Ivy League school,"B. What pride — and what tenderness — when our child reaches a place so many dream of. It takes more than intelligence to thrive there; it takes balance, self-knowledge, and heart. When we support curiosity and well-being alongside ambition, we will see our children grow into grounded, fulfilled learners.",,,,1
10,1,Hopes,1,Success,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",TRUE,2,C,1_2_C,C. Prepared for a career in technology,"C.What courage and curiosity when our child steps into a field that keeps reinventing itself. The tech world keeps changing, and so do the skills it rewards. When we help children blend creativity, resilience, and curiosity with their technical abilities, they will be ready not just to adapt — but to lead with imagination.",,,,1
11,1,Hopes,1,Success,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",TRUE,2,D,1_2_D,D. Medical school or law school,"D. What admiration we feel when our child commits to a path that asks so much of them. Medicine and law demand years of focus, empathy, and endurance. When we see them take on that challenge with care and purpose, we can trust they will find meaning in the lives they touch.",,,,1
12,1,Hopes,1,Success,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",TRUE,2,E,1_2_E,"E. Took what they learned and created something new (art, business, invention)","E. What awe when our child turns knowledge into something their own. Creation asks for courage — to imagine, to risk, to build. When we notice those small beginnings, we can see their confidence grow, and know that what they do will ripple outward in ways that matter.",,,,1
13,1,Hopes,1,Success,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",TRUE,2,OTHER,1_2_OTHER,Other,,,,,1
14,1,Hopes,1,Success,1_3,3,Does your child like school?,FALSE,1,A,1_3_A,A. Mostly yes,,,,,1
15,1,Hopes,1,Success,1_3,3,Does your child like school?,FALSE,1,B,1_3_B,B. Mostly no,,,,,1
16,1,Hopes,1,Success,1_4,4,Does your child like study? ,FALSE,1,A,1_4_A,A. Yes,,,,,1
17,1,Hopes,1,Success,1_4,4,Does your child like study? ,FALSE,1,B,1_4_B,B. Not really,,,,,1
18,1,Hopes,1,Success,1_4,4,Does your child like study? ,FALSE,1,C,1_4_C,C. Depending on the topic,,,,,1
