id,category_id,question_code,question_number,question_text,check_box,max_select,block_number,block_text,is_start_question,parent_question_id,color_code,version,created_at
1,1,1_1,1,What do you think is the most important criterion for measuring a child’s success in life? (Pick up to 3),True,3,1,Success,False,,#FFE066,1,2025-10-06 07:18:52.892192
2,1,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",True,2,1,Success,False,,#D6C7E7,1,2025-10-06 07:18:52.922528
3,1,1_3,3,Does your child like school?,False,1,1,Success,False,,#98FB98,1,2025-10-06 07:18:52.951351
4,1,1_4,4,Does your child like study?,False,1,1,Success,False,,#FFAD84,1,2025-10-06 07:18:52.979259
5,1,1_5,5,Do you like study?,False,1,1,Success,False,,#ADD8E6,1,2025-10-06 07:18:53.007940
6,1,1_6,6,Did you like school?,False,1,1,Success,False,,#D6C7E7,1,2025-10-06 07:18:53.037092
7,1,1_7,7,What are you most worried about in your child’s future? (Pick up to 2),True,2,2,Future,False,,#F08080,1,2025-10-06 07:18:53.065259
8,1,1_8,8,Do you think governments take care of the needs of young people?,False,1,2,Future,False,,#ADD8E6,1,2025-10-06 07:18:53.094415
9,1,1_9,9,Do today’s youth have a real voice in shaping the future?,False,1,2,Future,False,,#FFE066,1,2025-10-06 07:18:53.121732
10,1,1_10,10,"If your child couldn’t find a stable job in the future, how would you try to help? (Pick up to 2)",True,2,2,Future,False,,#FFE066,1,2025-10-06 07:18:53.150627
11,1,1_11,11,What do you think is the most effective way for adults to support the future of young people? (Pick up to 2),True,2,2,Future,False,,#D6C7E7,1,2025-10-06 07:18:53.177877
12,2,2_1,1,"Regular family rituals, like eating dinner together, can strengthen a sense of belonging. Especially for children, this stability contributes to a sense of psychological security.  Does your family eat dinner together?",False,1,1,Dinner Table,False,,#98FB98,1,2025-10-06 07:18:53.207409
13,2,2_2,2,What do you usually do at dinner? (Multiple choices possible),True,10,1,Dinner Table,False,,#FFAD84,1,2025-10-06 07:18:53.235555
